game_id,date,team,opponent,team_name,opponent_name,team_score,opponent_score,margin,location,pace,completed,year,garbage_time_detected,garbage_time_cutoff_period,garbage_time_cutoff_clock,garbage_time_cutoff_action_number,garbage_time_possessions_before_cutoff,effective_margin,effective_possessions,effective_pace,team_score_at_cutoff,opponent_score_at_cutoff
0021000001,2010-10-26,BOS,MIA,Boston Celtics,Miami Heat,88.0,80.0,8.0,Home,,True,2011,False,,,,41,8.0,0,,88.0,80.0
0021000002,2010-10-26,POR,PHX,Portland Trail Blazers,Phoenix Suns,106.0,92.0,14.0,Home,,True,2011,False,,,,31,14.0,0,,106.0,92.0
0021000003,2010-10-26,LAL,HOU,Los Angeles Lakers,Houston Rockets,112.0,110.0,2.0,Home,,True,2011,False,,,,32,2.0,0,,112.0,110.0
0021000004,2010-10-27,CLE,BOS,Cleveland Cavaliers,Boston Celtics,95.0,87.0,8.0,Home,,True,2011,False,,,,42,8.0,0,,95.0,87.0
0021000005,2010-10-27,NJN,DET,New Jersey Nets,Detroit Pistons,101.0,98.0,3.0,Home,,True,2011,False,,,,25,3.0,0,,101.0,98.0
0021000006,2010-10-27,PHI,MIA,Philadelphia 76ers,Miami Heat,87.0,97.0,-10.0,Home,,True,2011,False,,,,38,-10.0,0,,87.0,97.0
0021000007,2010-10-27,TOR,NYK,Toronto Raptors,New York Knicks,93.0,98.0,-5.0,Home,,True,2011,False,,,,29,-5.0,0,,93.0,98.0
0021000008,2010-10-27,MEM,ATL,Memphis Grizzlies,Atlanta Hawks,104.0,119.0,-15.0,Home,,True,2011,False,,,,26,-15.0,0,,104.0,119.0
0021000009,2010-10-27,MIN,SAC,Minnesota Timberwolves,Sacramento Kings,116.0,117.0,-1.0,Home,,True,2011,False,,,,27,-1.0,0,,116.0,117.0
0021000010,2010-10-27,NOH,MIL,New Orleans Hornets,Milwaukee Bucks,95.0,91.0,4.0,Home,,True,2011,False,,,,30,4.0,0,,95.0,91.0
0021000011,2010-10-27,OKC,CHI,Oklahoma City Thunder,Chicago Bulls,106.0,95.0,11.0,Home,,True,2011,False,,,,28,11.0,0,,106.0,95.0
0021000012,2010-10-27,DAL,CHA,Dallas Mavericks,Charlotte Bobcats,101.0,86.0,15.0,Home,,True,2011,False,,,,38,15.0,0,,101.0,86.0
0021000013,2010-10-27,SAS,IND,San Antonio Spurs,Indiana Pacers,122.0,109.0,13.0,Home,,True,2011,False,,,,35,13.0,0,,122.0,109.0
0021000014,2010-10-27,DEN,UTA,Denver Nuggets,Utah Jazz,110.0,88.0,22.0,Home,,True,2011,True,4,PT08M29.00S,524,35,,,,,
0021000015,2010-10-27,GSW,HOU,Golden State Warriors,Houston Rockets,132.0,128.0,4.0,Home,,True,2011,False,,,,31,4.0,0,,132.0,128.0
0021000016,2010-10-27,LAC,POR,Los Angeles Clippers,Portland Trail Blazers,88.0,98.0,-10.0,Home,,True,2011,False,,,,33,-10.0,0,,88.0,98.0
0021000017,2010-10-28,ORL,WAS,Orlando Magic,Washington Wizards,112.0,83.0,29.0,Home,,True,2011,True,3,PT04M27.00S,320,26,,,,,
0021000018,2010-10-28,UTA,PHX,Utah Jazz,Phoenix Suns,94.0,110.0,-16.0,Home,,True,2011,False,,,,37,-16.0,0,,94.0,110.0
0021000019,2010-10-29,CHA,IND,Charlotte Bobcats,Indiana Pacers,101.0,104.0,-3.0,Home,,True,2011,False,,,,30,-3.0,0,,101.0,104.0
0021000020,2010-10-29,NJN,SAC,New Jersey Nets,Sacramento Kings,106.0,100.0,6.0,Home,,True,2011,False,,,,34,6.0,0,,106.0,100.0
