game_id,date,team,opponent,team_name,opponent_name,team_score,opponent_score,margin,location,pace,completed,year
0021500001,2015-10-27,ATL,DET,Atlanta Hawks,Detroit Pistons,94.0,106.0,-12.0,Home,,True,2016
0021500002,2015-10-27,CHI,CLE,Chicago Bulls,Cleveland Cavaliers,97.0,95.0,2.0,Home,,True,2016
0021500003,2015-10-27,GSW,NOP,Golden State Warriors,New Orleans Pelicans,111.0,95.0,16.0,Home,,True,2016
0021500004,2015-10-28,ORL,WAS,Orlando Magic,Washington Wizards,87.0,88.0,-1.0,Home,,True,2016
0021500005,2015-10-28,BOS,PHI,Boston Celtics,Philadelphia 76ers,112.0,95.0,17.0,Home,,True,2016
0021500006,2015-10-28,BKN,CHI,Brooklyn Nets,Chicago Bulls,100.0,115.0,-15.0,Home,,True,2016
0021500007,2015-10-28,DET,UTA,Detroit Pistons,Utah Jazz,92.0,87.0,5.0,Home,,True,2016
0021500008,2015-10-28,MIA,CHA,Miami Heat,Charlotte Hornets,104.0,94.0,10.0,Home,,True,2016
0021500009,2015-10-28,TOR,IND,Toronto Raptors,Indiana Pacers,106.0,99.0,7.0,Home,,True,2016
0021500010,2015-10-28,HOU,DEN,Houston Rockets,Denver Nuggets,85.0,105.0,-20.0,Home,,True,2016
0021500011,2015-10-28,MEM,CLE,Memphis Grizzlies,Cleveland Cavaliers,76.0,106.0,-30.0,Home,,True,2016
0021500012,2015-10-28,MIL,NYK,Milwaukee Bucks,New York Knicks,97.0,122.0,-25.0,Home,,True,2016
0021500013,2015-10-28,OKC,SAS,Oklahoma City Thunder,San Antonio Spurs,112.0,106.0,6.0,Home,,True,2016
0021500014,2015-10-28,PHX,DAL,Phoenix Suns,Dallas Mavericks,95.0,111.0,-16.0,Home,,True,2016
0021500015,2015-10-28,POR,NOP,Portland Trail Blazers,New Orleans Pelicans,112.0,94.0,18.0,Home,,True,2016
0021500016,2015-10-28,SAC,LAC,Sacramento Kings,LA Clippers,104.0,111.0,-7.0,Home,,True,2016
0021500017,2015-10-28,LAL,MIN,Los Angeles Lakers,Minnesota Timberwolves,111.0,112.0,-1.0,Home,,True,2016
0021500018,2015-10-29,IND,MEM,Indiana Pacers,Memphis Grizzlies,103.0,112.0,-9.0,Home,,True,2016
0021500019,2015-10-29,NYK,ATL,New York Knicks,Atlanta Hawks,101.0,112.0,-11.0,Home,,True,2016
0021500020,2015-10-29,LAC,DAL,LA Clippers,Dallas Mavericks,104.0,88.0,16.0,Home,,True,2016
0021500021,2015-10-30,CLE,MIA,Cleveland Cavaliers,Miami Heat,102.0,92.0,10.0,Home,,True,2016
0021500022,2015-10-30,ORL,OKC,Orlando Magic,Oklahoma City Thunder,136.0,139.0,-3.0,Home,,True,2016
0021500023,2015-10-30,PHI,UTA,Philadelphia 76ers,Utah Jazz,71.0,99.0,-28.0,Home,,True,2016
0021500024,2015-10-30,BOS,TOR,Boston Celtics,Toronto Raptors,103.0,113.0,-10.0,Home,,True,2016
0021500025,2015-10-30,DET,CHI,Detroit Pistons,Chicago Bulls,98.0,94.0,4.0,Home,,True,2016
0021500026,2015-10-30,ATL,CHA,Atlanta Hawks,Charlotte Hornets,97.0,94.0,3.0,Home,,True,2016
0021500027,2015-10-30,MIL,WAS,Milwaukee Bucks,Washington Wizards,113.0,118.0,-5.0,Home,,True,2016
0021500028,2015-10-30,SAS,BKN,San Antonio Spurs,Brooklyn Nets,102.0,75.0,27.0,Home,,True,2016
0021500029,2015-10-30,DEN,MIN,Denver Nuggets,Minnesota Timberwolves,78.0,95.0,-17.0,Home,,True,2016
0021500030,2015-10-30,HOU,GSW,Houston Rockets,Golden State Warriors,92.0,112.0,-20.0,Home,,True,2016
