game_id,date,team,opponent,team_name,opponent_name,team_score,opponent_score,margin,location,pace,completed,year,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,opp_fgm,opp_fga,opp_fg_pct,opp_fg3m,opp_fg3a,opp_fg3_pct,opp_ftm,opp_fta,opp_ft_pct,opp_oreb,opp_dreb,opp_reb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf,off_rating,def_rating,net_rating,efg_pct,ts_pct,tov_pct,oreb_pct,dreb_pct,ast_pct,ast_to,opp_off_rating,opp_def_rating,opp_net_rating,opp_efg_pct,opp_ts_pct,opp_tov_pct,opp_oreb_pct,opp_dreb_pct,opp_ast_pct,opp_ast_to,garbage_time_detected,garbage_time_cutoff_period,garbage_time_cutoff_clock,garbage_time_cutoff_action_number,garbage_time_possessions_before_cutoff,effective_margin,effective_possessions,effective_pace,team_score_at_cutoff,opponent_score_at_cutoff
0011700001,2017-09-30,GSW,DEN,Warriors,Nuggets,102.0,108.0,-6.0,Home,,True,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,31.0,-6.0,0.0,,102.0,108.0
0011700002,2017-09-30,LAL,MIN,Lakers,Timberwolves,99.0,108.0,-9.0,Home,,True,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,33.0,-9.0,0.0,,99.0,108.0
0011700003,2017-10-01,TOR,LAC,Raptors,Clippers,121.0,113.0,8.0,Home,,True,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,4.0,PT03M29.00S,695.0,27.0,8.0,0.0,,121.0,113.0
0011700004,2017-10-01,MIA,ATL,Heat,Hawks,96.0,90.0,6.0,Home,,True,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,37.0,6.0,0.0,,96.0,90.0
0011700005,2017-10-02,WAS,GUA,Wizards,Long-Lions,126.0,96.0,30.0,Home,,True,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,4.0,PT10M35.00S,512.0,20.0,30.0,0.0,,126.0,96.0
0011700006,2017-10-02,MEM,ORL,Grizzlies,Magic,92.0,84.0,8.0,Home,,True,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,32.0,8.0,0.0,,92.0,84.0
0011700007,2017-10-02,UTA,SYD,Jazz,Kings,108.0,83.0,25.0,Home,,True,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,4.0,PT08M45.00S,468.0,22.0,25.0,0.0,,108.0,83.0
0011700008,2017-10-02,BOS,CHO,Celtics,Hornets,94.0,82.0,12.0,Home,,True,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,30.0,12.0,0.0,,94.0,82.0
0011700009,2017-10-02,DAL,MIL,Mavericks,Bucks,106.0,104.0,2.0,Home,,True,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,32.0,2.0,0.0,,106.0,104.0
0011700010,2017-10-02,SAC,SAS,Kings,Spurs,106.0,96.0,10.0,Home,,True,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,30.0,10.0,0.0,,106.0,96.0
0011700011,2017-10-02,LAL,DEN,Lakers,Nuggets,107.0,113.0,-6.0,Home,,True,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,35.0,-6.0,0.0,,107.0,113.0
0011700012,2017-10-03,NOP,CHI,Pelicans,Bulls,109.0,113.0,-4.0,Home,,True,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,28.0,-4.0,0.0,,109.0,113.0
0011700013,2017-10-03,OKC,HOU,Thunder,Rockets,97.0,104.0,-7.0,Home,,True,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,34.0,-7.0,0.0,,97.0,104.0
0011700014,2017-10-03,POR,PHX,Trail Blazers,Suns,112.0,114.0,-2.0,Home,,True,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,34.0,-2.0,0.0,,112.0,114.0
0011700016,2017-10-03,NYK,BRK,Knicks,Nets,107.0,115.0,-8.0,Home,,True,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,26.0,-8.0,0.0,,107.0,115.0
0011700015,2017-10-04,LAC,TOR,Clippers,Raptors,98.0,84.0,14.0,Home,,True,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,3.0,PT00M13.10S,516.0,30.0,14.0,0.0,,98.0,84.0
0011700017,2017-10-04,PHI,MEM,76ers,Grizzlies,89.0,110.0,-21.0,Home,,True,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,31.0,-21.0,0.0,,89.0,110.0
0011700018,2017-10-04,CLE,ATL,Cavaliers,Hawks,93.0,109.0,-16.0,Home,,True,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,33.0,-16.0,0.0,,93.0,109.0
0011700019,2017-10-04,DET,CHO,Pistons,Hornets,104.0,109.0,-5.0,Home,,True,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,32.0,-5.0,0.0,,104.0,109.0
0011700020,2017-10-04,MIL,IND,Bucks,Pacers,86.0,104.0,-18.0,Home,,True,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,32.0,-18.0,0.0,,86.0,104.0
0011700021,2017-10-04,UTA,MAC,Jazz,Maccabi Haifa,117.0,78.0,39.0,Home,,True,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,3.0,PT04M37.00S,472.0,22.0,39.0,0.0,,117.0,78.0
0011700022,2017-10-04,LAL,DEN,Lakers,Nuggets,104.0,122.0,-18.0,Home,,True,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,28.0,-18.0,0.0,,104.0,122.0
0011700023,2017-10-04,DAL,CHI,Mavericks,Bulls,118.0,71.0,47.0,Home,,True,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,4.0,PT08M24.00S,508.0,24.0,47.0,0.0,,118.0,71.0
0011700024,2017-10-05,GSW,MIN,Warriors,Timberwolves,95.0,111.0,-16.0,Home,,True,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,27.0,-16.0,0.0,,95.0,111.0
0011700025,2017-10-05,ORL,DAL,Magic,Mavericks,112.0,89.0,23.0,Home,,True,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,4.0,PT07M32.00S,560.0,21.0,23.0,0.0,,112.0,89.0
0011700026,2017-10-05,HOU,SDS,Rockets,Sharks,144.0,82.0,62.0,Home,,True,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,2.0,PT01M03.00S,307.0,20.0,62.0,0.0,,144.0,82.0
0011700027,2017-10-05,POR,TOR,Trail Blazers,Raptors,106.0,101.0,5.0,Home,,True,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,4.0,PT08M24.00S,549.0,25.0,5.0,0.0,,106.0,101.0
0011700028,2017-10-05,BRK,MIA,Nets,Heat,107.0,88.0,19.0,Home,,True,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,4.0,PT04M32.00S,645.0,31.0,19.0,0.0,,107.0,88.0
0011700029,2017-10-06,PHI,BOS,76ers,Celtics,102.0,110.0,-8.0,Home,,True,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,30.0,-8.0,0.0,,102.0,110.0
0011700030,2017-10-06,WAS,NYK,Wizards,Knicks,104.0,100.0,4.0,Home,,True,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,35.0,4.0,0.0,,104.0,100.0
0011700031,2017-10-06,DET,ATL,Pistons,Hawks,109.0,87.0,22.0,Home,,True,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,4.0,PT06M36.00S,530.0,23.0,22.0,0.0,,109.0,87.0
0011700032,2017-10-06,CHI,MIL,Bulls,Bucks,114.0,101.0,13.0,Home,,True,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,4.0,PT05M17.00S,585.0,32.0,13.0,0.0,,114.0,101.0
0011700033,2017-10-06,OKC,NOP,Thunder,Pelicans,102.0,91.0,11.0,Home,,True,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,4.0,PT04M27.00S,594.0,32.0,11.0,0.0,,102.0,91.0
0011700034,2017-10-06,UTA,PHX,Jazz,Suns,112.0,101.0,11.0,Home,,True,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,35.0,11.0,0.0,,112.0,101.0
0011700035,2017-10-06,CLE,IND,Cavaliers,Pacers,102.0,106.0,-4.0,Home,,True,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,36.0,-4.0,0.0,,102.0,106.0
0011700036,2017-10-06,SAS,SAC,Spurs,Kings,113.0,93.0,20.0,Home,,True,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,28.0,20.0,0.0,,113.0,93.0
0011700037,2017-10-07,ORL,MIA,Magic,Heat,93.0,90.0,3.0,Home,,True,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,38.0,3.0,0.0,,93.0,90.0
0011700038,2017-10-08,LAC,POR,Clippers,Trail Blazers,106.0,134.0,-28.0,Home,,True,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,31.0,-28.0,0.0,,106.0,134.0
0011700039,2017-10-08,OKC,MEL,Thunder,United,86.0,85.0,1.0,Home,,True,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,40.0,1.0,0.0,,86.0,85.0
0011700040,2017-10-08,WAS,CLE,Wizards,Cavaliers,102.0,94.0,8.0,Home,,True,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,4.0,PT04M46.00S,593.0,34.0,8.0,0.0,,102.0,94.0
0011700041,2017-10-08,SAS,DEN,Spurs,Nuggets,122.0,100.0,22.0,Home,,True,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,4.0,PT04M48.00S,591.0,25.0,22.0,0.0,,122.0,100.0
0011700042,2017-10-08,CHI,NOP,Bulls,Pelicans,95.0,108.0,-13.0,Home,,True,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,36.0,-13.0,0.0,,95.0,108.0
0011700043,2017-10-08,LAL,SAC,Lakers,Kings,75.0,69.0,6.0,Home,,True,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,32.0,6.0,0.0,,75.0,69.0
0011700044,2017-10-08,MIN,GSW,Timberwolves,Warriors,110.0,142.0,-32.0,Home,,True,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,48.0,-32.0,0.0,,110.0,142.0
0011700045,2017-10-08,BRK,NYK,Nets,Knicks,117.0,83.0,34.0,Home,,True,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,4.0,PT10M26.00S,546.0,27.0,34.0,0.0,,117.0,83.0
0011700046,2017-10-09,DET,IND,Pistons,Pacers,107.0,97.0,10.0,Home,,True,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,24.0,10.0,0.0,,107.0,97.0
0011700047,2017-10-09,PHX,UTA,Suns,Jazz,102.0,120.0,-18.0,Home,,True,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,37.0,-18.0,0.0,,102.0,120.0
0011700048,2017-10-09,BOS,PHI,Celtics,76ers,113.0,96.0,17.0,Home,,True,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,3.0,PT02M59.00S,515.0,20.0,17.0,0.0,,113.0,96.0
0011700049,2017-10-09,NYK,HOU,Knicks,Rockets,95.0,117.0,-22.0,Home,,True,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,27.0,-22.0,0.0,,95.0,117.0
0011700050,2017-10-09,ATL,MEM,Hawks,Grizzlies,100.0,88.0,12.0,Home,,True,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,39.0,12.0,0.0,,100.0,88.0
0011700051,2017-10-09,MIA,CHO,Heat,Hornets,109.0,106.0,3.0,Home,,True,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,34.0,3.0,0.0,,109.0,106.0
0011700052,2017-10-09,DAL,ORL,Mavericks,Magic,99.0,96.0,3.0,Home,,True,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,30.0,3.0,0.0,,99.0,96.0
0011700053,2017-10-09,SAC,POR,Kings,Trail Blazers,83.0,97.0,-14.0,Home,,True,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,36.0,-14.0,0.0,,83.0,97.0
0011700054,2017-10-10,TOR,DET,Raptors,Pistons,116.0,94.0,22.0,Home,,True,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,22.0,0.0,,116.0,94.0
0011700055,2017-10-10,IND,MAC,Pacers,Maccabi Haifa,108.0,89.0,19.0,Home,,True,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,4.0,PT05M59.00S,579.0,35.0,19.0,0.0,,108.0,89.0
0011700056,2017-10-10,DEN,OKC,Nuggets,Thunder,86.0,96.0,-10.0,Home,,True,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,-10.0,0.0,,86.0,96.0
0011700057,2017-10-10,SAS,ORL,Spurs,Magic,98.0,103.0,-5.0,Home,,True,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,-5.0,0.0,,98.0,103.0
0011700058,2017-10-10,LAL,UTA,Lakers,Jazz,99.0,105.0,-6.0,Home,,True,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,38.0,-6.0,0.0,,99.0,105.0
0011700059,2017-10-10,CLE,CHI,Cavaliers,Bulls,94.0,108.0,-14.0,Home,,True,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,33.0,-14.0,0.0,,94.0,108.0
0011700060,2017-10-11,CHO,BOS,Hornets,Celtics,100.0,108.0,-8.0,Home,,True,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,27.0,-8.0,0.0,,100.0,108.0
0011700061,2017-10-11,PHX,POR,Suns,Trail Blazers,104.0,113.0,-9.0,Home,,True,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,28.0,-9.0,0.0,,104.0,113.0
0011700062,2017-10-11,BRK,PHI,Nets,76ers,114.0,133.0,-19.0,Home,,True,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,31.0,-19.0,0.0,,114.0,133.0
0011700063,2017-10-11,MIA,WAS,Heat,Wizards,117.0,115.0,2.0,Home,,True,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,35.0,2.0,0.0,,117.0,115.0
0011700064,2017-10-11,MEM,HOU,Grizzlies,Rockets,89.0,101.0,-12.0,Home,,True,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,37.0,-12.0,0.0,,89.0,101.0
0011700065,2017-10-12,ATL,DAL,Hawks,Mavericks,94.0,108.0,-14.0,Home,,True,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,40.0,-14.0,0.0,,94.0,108.0
0011700066,2017-10-12,LAC,SAC,Clippers,Kings,104.0,87.0,17.0,Home,,True,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,4.0,PT04M22.00S,562.0,39.0,17.0,0.0,,104.0,87.0
