game_id,date,team,opponent,team_name,opponent_name,team_score,opponent_score,margin,location,pace,completed,year,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,opp_fgm,opp_fga,opp_fg_pct,opp_fg3m,opp_fg3a,opp_fg3_pct,opp_ftm,opp_fta,opp_ft_pct,opp_oreb,opp_dreb,opp_reb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf,off_rating,def_rating,net_rating,efg_pct,ts_pct,tov_pct,oreb_pct,dreb_pct,ast_pct,ast_to,opp_off_rating,opp_def_rating,opp_net_rating,opp_efg_pct,opp_ts_pct,opp_tov_pct,opp_oreb_pct,opp_dreb_pct,opp_ast_pct,opp_ast_to
22400061,2024-10-22,BOS,NYK,Celtics,Knicks,132.0,109.0,23.0,Home,91.0,True,2025,48.0,95.0,0.505,29.0,61.0,0.475,7.0,8.0,0.875,11.0,29.0,40.0,33.0,6.0,3.0,3.0,15.0,43.0,78.0,0.551,11.0,30.0,0.367,12.0,16.0,0.75,5.0,29.0,34.0,20.0,2.0,3.0,11.0,12.0,145.1,119.8,25.3,0.658,0.67,4.4,0.298,0.816,0.688,8.25,119.8,145.1,-25.3,0.622,0.641,13.2,0.184,0.702,0.465,1.67
22400062,2024-10-22,LAL,MIN,Lakers,Timberwolves,110.0,103.0,7.0,Home,94.5,True,2025,42.0,95.0,0.442,5.0,30.0,0.167,21.0,25.0,0.84,15.0,31.0,46.0,22.0,7.0,8.0,7.0,22.0,35.0,85.0,0.412,13.0,41.0,0.317,20.0,27.0,0.741,12.0,35.0,47.0,17.0,4.0,1.0,15.0,22.0,115.8,109.6,6.2,0.468,0.519,7.4,0.375,0.63,0.524,3.14,109.6,115.8,-6.2,0.488,0.532,17.0,0.37,0.625,0.486,1.06
22400063,2024-10-23,DET,IND,Pistons,Pacers,109.0,115.0,-6.0,Home,100.0,True,2025,38.0,88.0,0.432,9.0,33.0,0.273,24.0,28.0,0.857,12.0,26.0,38.0,22.0,6.0,2.0,12.0,21.0,42.0,83.0,0.506,9.0,31.0,0.29,22.0,25.0,0.88,7.0,32.0,39.0,32.0,10.0,8.0,15.0,23.0,110.1,113.9,-3.8,0.483,0.543,14.1,0.321,0.744,0.579,1.57,113.9,110.1,3.8,0.56,0.612,14.9,0.256,0.679,0.762,2.13
22400064,2024-10-23,ATL,BRK,Hawks,Nets,120.0,116.0,4.0,Home,105.0,True,2025,39.0,80.0,0.488,9.0,28.0,0.321,33.0,46.0,0.717,12.0,33.0,45.0,25.0,12.0,9.0,16.0,20.0,40.0,91.0,0.44,17.0,43.0,0.395,19.0,25.0,0.76,12.0,31.0,43.0,21.0,8.0,6.0,17.0,32.0,114.3,110.5,3.8,0.544,0.599,15.2,0.304,0.679,0.641,1.56,110.5,114.3,-3.8,0.533,0.569,18.1,0.321,0.696,0.525,1.11
22400065,2024-10-23,MIA,ORL,Heat,Magic,97.0,116.0,-19.0,Home,97.5,True,2025,32.0,82.0,0.39,11.0,34.0,0.324,22.0,29.0,0.759,9.0,32.0,41.0,24.0,5.0,8.0,11.0,19.0,41.0,96.0,0.427,18.0,49.0,0.367,16.0,22.0,0.727,18.0,39.0,57.0,28.0,8.0,8.0,11.0,21.0,100.0,118.4,-18.4,0.457,0.512,11.3,0.192,0.61,0.75,2.18,118.4,100.0,18.4,0.521,0.549,14.3,0.39,0.808,0.683,2.0
22400066,2024-10-23,PHI,MIL,76ers,Bucks,109.0,124.0,-15.0,Home,101.0,True,2025,41.0,98.0,0.418,8.0,31.0,0.258,19.0,27.0,0.704,17.0,32.0,49.0,18.0,4.0,2.0,10.0,28.0,43.0,80.0,0.538,16.0,37.0,0.432,22.0,31.0,0.71,8.0,38.0,46.0,27.0,4.0,9.0,14.0,23.0,109.0,121.6,-12.6,0.459,0.496,10.0,0.356,0.78,0.439,1.8,121.6,109.0,12.6,0.638,0.662,13.7,0.22,0.644,0.628,1.93
22400067,2024-10-23,TOR,CLE,Raptors,Cavaliers,106.0,136.0,-30.0,Home,102.0,True,2025,36.0,86.0,0.419,12.0,31.0,0.387,22.0,29.0,0.759,14.0,24.0,38.0,25.0,8.0,6.0,18.0,24.0,51.0,87.0,0.586,14.0,30.0,0.467,20.0,26.0,0.769,8.0,28.0,36.0,29.0,10.0,9.0,12.0,22.0,102.9,134.7,-31.7,0.488,0.537,18.4,0.385,0.718,0.694,1.32,134.7,102.9,31.7,0.667,0.691,12.9,0.282,0.615,0.569,2.23
22400068,2024-10-23,HOU,CHO,Rockets,Hornets,105.0,110.0,-5.0,Home,96.0,True,2025,38.0,103.0,0.369,13.0,43.0,0.302,16.0,20.0,0.8,16.0,27.0,43.0,19.0,8.0,4.0,8.0,18.0,38.0,85.0,0.447,15.0,39.0,0.385,19.0,24.0,0.792,15.0,41.0,56.0,20.0,6.0,10.0,16.0,21.0,109.4,114.6,-5.2,0.432,0.47,8.3,0.373,0.6,0.5,2.38,114.6,109.4,5.2,0.535,0.576,17.7,0.4,0.627,0.526,1.18
22400069,2024-10-23,NOP,CHI,Pelicans,Bulls,123.0,111.0,12.0,Home,108.0,True,2025,45.0,97.0,0.464,14.0,37.0,0.378,19.0,21.0,0.905,7.0,35.0,42.0,29.0,15.0,10.0,11.0,17.0,42.0,86.0,0.488,10.0,34.0,0.294,17.0,25.0,0.68,9.0,38.0,47.0,26.0,4.0,2.0,21.0,16.0,113.9,102.8,11.1,0.536,0.579,11.1,0.231,0.78,0.644,2.42,102.8,113.9,-11.1,0.547,0.572,19.4,0.22,0.769,0.619,1.24
22400070,2024-10-23,UTA,MEM,Jazz,Grizzlies,124.0,126.0,-2.0,Home,,True,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22400071,2024-10-23,LAC,PHX,Clippers,Suns,113.0,116.0,-3.0,Home,102.34,True,2025,42.0,92.0,0.457,8.0,29.0,0.276,21.0,30.0,0.7,13.0,38.0,51.0,27.0,9.0,1.0,21.0,29.0,38.0,78.0,0.487,15.0,38.0,0.395,25.0,34.0,0.735,4.0,38.0,42.0,25.0,12.0,9.0,22.0,23.0,100.0,102.7,-2.7,0.5,0.537,19.5,0.293,0.864,0.643,1.23,102.7,100.0,2.7,0.583,0.624,19.5,0.136,0.707,0.658,1.14
22400072,2024-10-23,POR,GSW,Trail Blazers,Warriors,104.0,140.0,-36.0,Home,108.5,True,2025,36.0,92.0,0.391,8.0,34.0,0.235,24.0,30.0,0.8,13.0,29.0,42.0,21.0,10.0,4.0,17.0,22.0,48.0,93.0,0.516,20.0,48.0,0.417,24.0,30.0,0.8,15.0,42.0,57.0,38.0,13.0,5.0,17.0,27.0,96.3,128.4,-32.1,0.435,0.494,16.7,0.271,0.612,0.583,1.17,128.4,96.3,32.1,0.624,0.659,16.5,0.388,0.729,0.792,2.11
22400073,2024-10-24,WAS,BOS,Wizards,Celtics,102.0,122.0,-20.0,Home,103.5,True,2025,41.0,95.0,0.432,7.0,36.0,0.194,13.0,18.0,0.722,10.0,30.0,40.0,27.0,9.0,6.0,13.0,19.0,42.0,90.0,0.467,17.0,45.0,0.378,21.0,27.0,0.778,12.0,37.0,49.0,21.0,7.0,3.0,14.0,19.0,99.0,117.3,-18.3,0.468,0.496,14.6,0.286,0.7,0.659,1.8,117.3,99.0,18.3,0.561,0.599,13.5,0.3,0.714,0.5,1.5
22400074,2024-10-24,DAL,SAS,Mavericks,Spurs,120.0,109.0,11.0,Home,104.5,True,2025,42.0,102.0,0.412,19.0,44.0,0.432,17.0,23.0,0.739,17.0,33.0,50.0,27.0,9.0,5.0,9.0,21.0,39.0,86.0,0.453,12.0,36.0,0.333,19.0,24.0,0.792,12.0,40.0,52.0,30.0,6.0,5.0,19.0,18.0,115.4,103.8,11.6,0.505,0.535,9.6,0.302,0.714,0.643,2.7,103.8,115.4,-11.6,0.523,0.564,18.1,0.286,0.698,0.769,1.58
