Rank,Team,Record,EM Rating,Predictive Rating,Projected Record,AdjO,AdjD,Pace,RSOS,Playoffs,Conference Semis,Conference Finals,Finals,Champion
1,Oklahoma City Thunder,43-9,10.0,9.3,64.0-18.0,3.85,9.5,99.75,0.18,1.0,0.815,0.593,0.435,0.262
2,Boston Celtics,38-16,5.74,6.77,58.1-23.9,6.53,2.17,96.94,-1.11,1.0,0.841,0.65,0.496,0.301
3,Cleveland Cavaliers,43-10,7.27,5.0,60.8-21.2,7.73,2.04,100.06,-0.62,1.0,0.717,0.407,0.138,0.056
4,Minnesota Timberwolves,30-24,3.5,4.14,46.3-35.7,0.64,3.32,97.12,0.03,0.876,0.457,0.235,0.097,0.045
5,Memphis Grizzlies,36-17,6.53,4.09,52.1-29.9,3.8,3.08,104.16,0.82,0.995,0.522,0.228,0.087,0.042
6,Denver Nuggets,35-19,4.94,3.76,51.2-30.8,6.59,-1.55,100.07,0.87,0.995,0.584,0.267,0.107,0.051
7,New York Knicks,35-18,3.15,3.33,51.4-30.6,6.72,-1.62,97.06,0.04,1.0,0.651,0.264,0.118,0.044
8,Dallas Mavericks,28-26,2.46,2.91,44.3-37.7,2.64,0.26,98.95,-0.5,0.678,0.311,0.176,0.086,0.031
9,Los Angeles Lakers,32-19,1.54,2.85,48.2-33.8,0.92,-0.13,97.76,0.7,0.914,0.396,0.147,0.057,0.018
10,Indiana Pacers,29-23,0.88,2.17,47.3-34.7,1.11,-1.6,99.68,-0.49,0.996,0.608,0.261,0.105,0.043
11,Houston Rockets,33-20,4.81,2.17,49.1-32.9,0.51,4.17,98.48,0.17,0.945,0.39,0.138,0.05,0.015
12,Milwaukee Bucks,28-24,1.22,1.64,43.5-38.5,0.41,0.17,99.55,0.79,0.916,0.379,0.145,0.053,0.027
13,Golden State Warriors,27-26,-0.2,0.29,41.6-40.4,-0.94,2.09,99.11,-0.31,0.357,0.121,0.051,0.03,0.012
14,Miami Heat,25-26,-0.53,-0.15,40.5-41.5,-1.22,-0.33,96.71,-0.12,0.724,0.2,0.074,0.025,0.009
15,Los Angeles Clippers,29-23,2.3,-0.36,43.3-38.7,-1.87,5.0,98.1,0.41,0.518,0.151,0.051,0.012,0.004
16,Sacramento Kings,27-26,-0.15,-0.41,42.2-39.8,2.58,-1.89,99.45,0.05,0.462,0.172,0.08,0.03,0.017
17,Philadelphia 76ers,20-33,-2.67,-0.58,35.2-46.8,-1.15,-2.57,96.65,-0.47,0.256,0.078,0.031,0.009,0.005
18,Orlando Magic,26-29,-2.06,-0.87,39.5-42.5,-7.12,4.75,96.29,-0.77,0.633,0.194,0.074,0.024,0.008
19,San Antonio Spurs,23-28,-1.66,-1.17,36.9-45.1,-0.35,-0.81,99.18,0.55,0.045,0.012,0.006,0.0,0.0
20,Phoenix Suns,26-27,-2.59,-1.2,39.9-42.1,1.98,-4.07,97.23,1.43,0.209,0.068,0.028,0.009,0.002
21,Atlanta Hawks,26-28,-1.12,-1.59,39.4-42.6,-2.56,-0.19,103.21,-0.27,0.601,0.153,0.048,0.013,0.003
22,Detroit Pistons,28-26,-0.01,-1.87,41.0-41.0,-0.7,0.52,99.24,0.06,0.739,0.156,0.041,0.017,0.005
23,Portland Trail Blazers,23-31,-2.79,-2.41,34.1-47.9,-2.92,-1.64,98.27,0.02,0.006,0.001,0.0,0.0,0.0
24,Toronto Raptors,17-37,-2.8,-3.53,29.4-52.6,-2.46,-1.72,99.29,-2.36,0.018,0.008,0.002,0.0,0.0
25,Chicago Bulls,22-32,-4.46,-3.69,33.1-48.9,-1.65,-2.7,103.05,-0.07,0.099,0.015,0.003,0.002,0.0
26,New Orleans Pelicans,12-41,-6.34,-3.98,24.3-57.7,-3.84,-4.53,99.46,0.24,0.0,0.0,0.0,0.0,0.0
27,Utah Jazz,12-40,-4.86,-5.69,22.3-59.7,-1.66,-5.75,99.06,0.85,0.0,0.0,0.0,0.0,0.0
28,Brooklyn Nets,19-34,-4.94,-5.78,28.9-53.1,-5.17,-1.1,96.04,0.33,0.018,0.0,0.0,0.0,0.0
29,Charlotte Hornets,13-38,-6.37,-7.02,23.2-58.8,-5.11,-0.38,97.34,0.24,0.0,0.0,0.0,0.0,0.0
30,Washington Wizards,9-44,-10.69,-8.15,18.8-63.2,-7.29,-4.49,101.48,-1.22,0.0,0.0,0.0,0.0,0.0
