,expected_margin
OKC,9.656541029610452
SAS,6.98044573578
DET,5.893537591346584
NYK,5.867585843473272
BOS,5.710345454000484
CHO,5.483661487473733
CLE,4.81953089517685
DEN,4.582035029534426
LAL,4.037313001099022
TOR,3.2881187659479334
MIN,3.211178743399115
ATL,2.9272895018752196
MIA,2.7860295563584048
HOU,2.686028569041433
ORL,2.6370953209029815
LAC,2.1549786733952105
GSW,0.3155839324036984
PHX,0.07045175528415328
PHI,-1.0794696286598733
POR,-1.4486616457254282
NOP,-2.085753518655692
MEM,-3.576180075458905
CHI,-3.9920329653285096
DAL,-5.220956654843942
SAC,-7.411891819470001
UTA,-8.4549044021015
MIL,-9.006306618716607
WAS,-9.798052649089964
BRK,-10.18817281799158
IND,-10.845368090060969
