,expected_margin
OKC,9.502068977516444
SAS,8.993203002667759
DET,7.3762527086651914
BOS,6.508923774248011
HOU,5.482379207479347
NYK,5.458093967445049
CLE,5.045497662269307
ATL,5.002300293311138
CHO,4.688663125157752
DEN,4.543872495514428
MIN,3.6247812359842886
LAL,3.358619062729009
LAC,2.588250406248906
TOR,2.565101903021046
PHX,1.7215835655775704
POR,1.1004490798823061
MIA,0.7055711418132352
PHI,0.2595757833910483
GSW,-0.21903134205965344
ORL,-0.9156987510144707
NOP,-4.166993025906529
CHI,-6.023084318261955
DAL,-6.485985070991587
IND,-6.827355447958239
MIL,-7.150030624701433
MEM,-7.602922402044314
SAC,-8.346868647386273
UTA,-9.819098596578637
WAS,-10.419648482740918
BRK,-10.548470683277829
