team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
DET,0.752,0.159,0.043,0.034,0.01,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NYK,0.145,0.388,0.259,0.133,0.052,0.016,0.004,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CLE,0.056,0.196,0.243,0.278,0.133,0.067,0.016,0.01,0.001,0.0,0.0,0.0,0.0,0.0,0.0
BOS,0.042,0.216,0.334,0.241,0.095,0.046,0.016,0.005,0.004,0.001,0.0,0.0,0.0,0.0,0.0
TOR,0.003,0.023,0.06,0.133,0.262,0.227,0.155,0.1,0.027,0.009,0.001,0.0,0.0,0.0,0.0
PHI,0.001,0.012,0.038,0.099,0.219,0.24,0.198,0.113,0.057,0.018,0.005,0.0,0.0,0.0,0.0
MIA,0.001,0.001,0.009,0.051,0.122,0.168,0.209,0.205,0.158,0.063,0.013,0.0,0.0,0.0,0.0
ORL,0.0,0.005,0.011,0.024,0.079,0.155,0.225,0.239,0.141,0.088,0.024,0.009,0.0,0.0,0.0
ATL,0.0,0.0,0.002,0.007,0.018,0.052,0.124,0.166,0.283,0.223,0.099,0.026,0.0,0.0,0.0
CHO,0.0,0.0,0.001,0.0,0.009,0.026,0.042,0.119,0.203,0.335,0.195,0.07,0.0,0.0,0.0
MIL,0.0,0.0,0.0,0.0,0.001,0.001,0.004,0.019,0.058,0.127,0.331,0.44,0.018,0.001,0.0
CHI,0.0,0.0,0.0,0.0,0.0,0.002,0.005,0.021,0.068,0.135,0.33,0.432,0.007,0.0,0.0
WAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.004,0.248,0.378,0.368
BRK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.008,0.377,0.344,0.27
IND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011,0.35,0.277,0.362
