team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
OKC,0.924,0.054,0.014,0.007,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MEM,0.028,0.279,0.207,0.143,0.108,0.083,0.063,0.036,0.03,0.01,0.009,0.003,0.001,0.0,0.0
DAL,0.02,0.267,0.235,0.159,0.111,0.079,0.043,0.049,0.016,0.01,0.011,0.0,0.0,0.0,0.0
HOU,0.014,0.18,0.174,0.159,0.15,0.114,0.068,0.063,0.036,0.022,0.015,0.004,0.001,0.0,0.0
DEN,0.005,0.074,0.113,0.139,0.133,0.138,0.111,0.102,0.064,0.061,0.04,0.018,0.002,0.0,0.0
MIN,0.003,0.055,0.101,0.118,0.126,0.119,0.133,0.119,0.086,0.06,0.048,0.03,0.002,0.0,0.0
LAL,0.003,0.039,0.05,0.096,0.106,0.117,0.121,0.14,0.113,0.092,0.083,0.034,0.005,0.001,0.0
LAC,0.003,0.023,0.038,0.078,0.095,0.1,0.127,0.109,0.136,0.127,0.092,0.059,0.012,0.001,0.0
GSW,0.0,0.018,0.042,0.051,0.075,0.101,0.128,0.101,0.133,0.13,0.113,0.083,0.025,0.0,0.0
PHO,0.0,0.01,0.016,0.029,0.048,0.087,0.103,0.122,0.145,0.168,0.136,0.104,0.026,0.006,0.0
SAS,0.0,0.001,0.006,0.016,0.031,0.041,0.059,0.088,0.119,0.141,0.185,0.22,0.067,0.02,0.006
SAC,0.0,0.0,0.004,0.005,0.016,0.02,0.04,0.068,0.111,0.161,0.213,0.272,0.073,0.014,0.003
POR,0.0,0.0,0.0,0.0,0.0,0.001,0.004,0.003,0.007,0.011,0.033,0.082,0.358,0.325,0.176
NOP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.003,0.014,0.05,0.231,0.339,0.36
UTA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.004,0.008,0.041,0.197,0.294,0.455
