team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
DET,0.365,0.209,0.143,0.108,0.062,0.052,0.03,0.015,0.011,0.004,0.001,0.0,0.0,0.0,0.0
NYK,0.264,0.207,0.146,0.141,0.078,0.067,0.046,0.029,0.013,0.007,0.0,0.002,0.0,0.0,0.0
CLE,0.128,0.149,0.16,0.144,0.147,0.114,0.065,0.057,0.025,0.01,0.0,0.001,0.0,0.0,0.0
ORL,0.095,0.154,0.143,0.151,0.126,0.119,0.083,0.067,0.043,0.015,0.003,0.001,0.0,0.0,0.0
BOS,0.073,0.095,0.139,0.117,0.149,0.118,0.091,0.09,0.072,0.033,0.02,0.003,0.0,0.0,0.0
ATL,0.027,0.067,0.105,0.097,0.113,0.122,0.149,0.139,0.087,0.065,0.024,0.004,0.001,0.0,0.0
TOR,0.025,0.057,0.066,0.088,0.099,0.129,0.152,0.132,0.128,0.072,0.034,0.016,0.002,0.0,0.0
MIA,0.014,0.035,0.052,0.089,0.112,0.109,0.149,0.158,0.127,0.103,0.039,0.011,0.002,0.0,0.0
PHI,0.007,0.018,0.032,0.045,0.074,0.097,0.129,0.149,0.176,0.159,0.067,0.038,0.008,0.001,0.0
MIL,0.002,0.005,0.01,0.012,0.024,0.045,0.071,0.098,0.167,0.243,0.203,0.067,0.032,0.015,0.006
CHI,0.0,0.003,0.003,0.008,0.014,0.027,0.029,0.05,0.102,0.162,0.272,0.181,0.093,0.046,0.01
CHO,0.0,0.001,0.0,0.0,0.001,0.001,0.003,0.008,0.018,0.054,0.128,0.233,0.227,0.222,0.104
IND,0.0,0.0,0.001,0.0,0.001,0.0,0.003,0.008,0.024,0.043,0.12,0.226,0.22,0.212,0.142
BRK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.025,0.073,0.166,0.265,0.28,0.185
WAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.005,0.016,0.051,0.15,0.224,0.553
