team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
OKC,0.938,0.047,0.012,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NYK,0.441,0.263,0.137,0.065,0.047,0.027,0.015,0.004,0.0,0.001,0.0,0.0,0.0,0.0,0.0
DET,0.359,0.29,0.151,0.08,0.044,0.035,0.024,0.011,0.003,0.003,0.0,0.0,0.0,0.0,0.0
BOS,0.073,0.137,0.177,0.164,0.138,0.098,0.1,0.049,0.038,0.014,0.009,0.003,0.0,0.0,0.0
CLE,0.056,0.115,0.154,0.17,0.166,0.128,0.085,0.067,0.041,0.014,0.004,0.0,0.0,0.0,0.0
MIA,0.032,0.056,0.12,0.146,0.148,0.138,0.121,0.11,0.08,0.031,0.014,0.004,0.0,0.0,0.0
HOU,0.027,0.332,0.259,0.17,0.107,0.065,0.021,0.014,0.003,0.002,0.0,0.0,0.0,0.0,0.0
SAS,0.02,0.288,0.282,0.187,0.104,0.065,0.033,0.013,0.005,0.002,0.0,0.001,0.0,0.0,0.0
ORL,0.02,0.063,0.116,0.136,0.158,0.145,0.135,0.105,0.074,0.035,0.013,0.0,0.0,0.0,0.0
DEN,0.013,0.228,0.228,0.238,0.138,0.079,0.04,0.023,0.005,0.005,0.002,0.001,0.0,0.0,0.0
TOR,0.009,0.023,0.048,0.08,0.088,0.128,0.161,0.167,0.153,0.086,0.053,0.003,0.001,0.0,0.0
PHI,0.008,0.035,0.059,0.074,0.094,0.136,0.125,0.149,0.161,0.103,0.044,0.011,0.001,0.0,0.0
ATL,0.002,0.017,0.031,0.071,0.089,0.121,0.14,0.176,0.178,0.106,0.054,0.013,0.002,0.0,0.0
MIN,0.001,0.053,0.109,0.173,0.195,0.179,0.124,0.086,0.042,0.023,0.01,0.005,0.0,0.0,0.0
LAL,0.001,0.032,0.063,0.1,0.163,0.195,0.154,0.113,0.089,0.054,0.027,0.008,0.001,0.0,0.0
GSW,0.0,0.011,0.024,0.064,0.119,0.154,0.199,0.171,0.129,0.078,0.043,0.006,0.002,0.0,0.0
PHX,0.0,0.007,0.015,0.027,0.087,0.092,0.138,0.186,0.176,0.148,0.087,0.034,0.002,0.001,0.0
LAC,0.0,0.002,0.004,0.021,0.052,0.101,0.142,0.187,0.208,0.156,0.085,0.036,0.004,0.002,0.0
CHI,0.0,0.001,0.004,0.008,0.013,0.015,0.05,0.055,0.13,0.253,0.289,0.136,0.035,0.009,0.002
MEM,0.0,0.0,0.004,0.015,0.027,0.05,0.091,0.127,0.18,0.225,0.175,0.082,0.021,0.003,0.0
MIL,0.0,0.0,0.003,0.006,0.015,0.027,0.042,0.101,0.121,0.261,0.276,0.1,0.039,0.008,0.001
POR,0.0,0.0,0.0,0.002,0.006,0.018,0.046,0.056,0.114,0.189,0.298,0.207,0.053,0.009,0.002
DAL,0.0,0.0,0.0,0.0,0.002,0.002,0.012,0.023,0.045,0.102,0.22,0.422,0.126,0.035,0.011
CHO,0.0,0.0,0.0,0.0,0.0,0.002,0.002,0.005,0.015,0.055,0.128,0.38,0.248,0.122,0.043
UTA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.003,0.004,0.027,0.082,0.317,0.311,0.255
WAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.005,0.015,0.082,0.205,0.407,0.284
BRK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.032,0.088,0.226,0.345,0.198,0.106
NOP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.006,0.011,0.061,0.21,0.288,0.423
SAC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.015,0.055,0.264,0.351,0.309
IND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.013,0.042,0.124,0.256,0.564
