simulation,OKC,LAL,DAL,CHO,BOS,ORL,ATL,NYK,CHI,MEM,POR,MIL,UTA,PHX,IND,GSW,BRK,HOU,TOR,SAC,LAC,NOP,PHI,DEN,SAS,DET,CLE,MIA,WAS,MIN
0,67,47,36,32,47,43,39,57,35,40,35,43,23,43,27,53,30,47,49,31,38,22,40,50,49,47,50,37,24,50
1,63,54,31,32,56,43,42,48,38,35,46,39,21,45,19,39,31,54,39,22,43,19,46,49,58,54,50,41,23,51
2,59,55,40,28,55,45,39,64,33,38,43,37,26,48,22,47,23,48,42,21,37,21,47,48,47,50,46,47,24,51
3,67,51,34,28,54,44,40,53,40,39,37,35,25,48,18,42,28,53,42,26,41,31,44,53,52,47,49,42,18,50
4,64,53,42,25,52,44,43,53,37,45,41,30,27,49,23,45,25,55,37,24,43,21,45,52,44,55,49,41,21,46
5,56,38,33,31,57,54,43,54,28,34,41,38,23,48,24,49,29,55,42,19,40,23,43,53,55,63,44,43,22,49
6,66,50,37,40,48,44,42,53,41,44,26,35,23,43,18,50,21,52,41,22,41,32,39,52,54,46,46,42,26,57
7,61,54,38,33,53,52,46,45,31,45,32,33,27,46,29,43,21,58,46,21,40,21,45,52,42,53,46,43,23,52
8,66,42,38,42,51,44,43,51,36,33,40,33,28,46,21,46,26,59,42,25,34,19,36,57,54,47,50,51,20,51
9,64,47,43,27,51,57,45,58,31,41,43,28,20,45,22,42,32,48,42,20,42,26,40,44,54,48,53,44,21,53
10,60,42,39,29,50,47,41,55,33,40,35,34,26,45,33,45,26,61,38,16,43,19,45,53,56,53,47,34,27,59
11,62,46,27,42,50,42,41,55,43,35,37,33,25,44,23,47,24,57,48,22,37,19,45,54,48,50,50,47,23,55
12,58,41,38,36,45,42,38,52,37,37,38,47,24,48,17,44,22,49,43,16,40,23,56,55,56,58,41,46,34,50
13,63,48,39,37,43,42,36,53,37,48,35,35,31,45,21,45,28,45,41,24,44,21,43,54,49,59,48,48,22,47
14,63,35,32,26,59,51,45,47,37,48,39,37,19,48,27,39,25,54,46,21,51,24,48,51,50,52,48,43,18,48
15,63,50,35,25,57,41,40,48,37,38,41,38,24,40,24,41,24,47,53,19,41,31,37,51,46,56,49,48,28,59
16,66,57,34,33,47,42,46,51,32,41,36,36,24,45,18,45,23,54,40,22,41,17,51,55,55,54,52,45,20,49
17,64,47,34,26,47,53,42,43,29,42,39,29,22,51,26,40,24,61,46,29,43,27,38,56,54,56,44,44,26,49
18,65,44,36,34,48,53,41,55,32,35,39,37,27,43,25,45,32,51,45,25,42,19,42,46,53,52,47,42,18,58
19,66,42,37,29,49,39,33,48,46,45,37,41,25,46,22,46,31,54,43,27,39,19,50,57,49,53,48,43,22,45
20,60,49,37,38,54,42,37,49,30,37,40,40,29,38,18,50,37,58,49,24,42,21,45,58,47,57,47,37,21,40
21,53,52,30,39,50,44,44,61,37,40,38,36,23,40,27,47,27,57,44,22,38,22,39,49,47,57,47,45,24,52
22,62,57,31,39,46,44,37,49,34,44,41,44,23,40,23,44,22,52,49,28,37,24,40,47,50,54,47,46,24,53
23,51,53,32,25,53,48,39,56,29,37,32,35,30,45,21,43,23,56,48,28,41,20,44,47,55,54,50,50,26,60
24,60,39,33,35,52,51,44,50,39,39,34,30,30,45,27,42,26,52,42,25,39,22,37,52,56,55,50,46,25,54
25,63,53,36,31,58,45,38,53,28,45,34,36,25,39,19,42,25,54,43,33,44,12,50,51,52,52,54,45,22,49
26,68,52,40,33,49,44,35,54,34,40,36,38,21,45,21,41,23,54,42,22,34,24,42,51,58,54,53,50,27,46
27,59,44,40,33,55,43,44,51,37,45,41,36,25,40,18,51,28,56,43,15,35,26,39,44,54,57,47,48,24,53
28,62,55,36,32,48,36,34,50,35,44,33,42,17,46,22,38,38,45,51,25,46,21,52,49,45,53,52,42,26,56
29,66,50,35,30,58,47,44,50,41,40,32,35,23,34,17,49,27,50,40,14,49,24,46,51,52,55,46,49,23,54
30,55,52,28,39,49,48,44,46,31,36,55,42,23,41,17,44,29,52,40,19,33,30,40,56,56,57,50,43,24,52
31,69,46,33,37,46,43,38,52,39,35,41,35,28,44,30,38,27,54,37,24,40,21,44,51,52,61,44,51,20,51
32,61,45,35,33,56,52,45,50,27,42,30,40,22,49,22,51,36,55,43,23,37,24,40,50,51,60,48,35,25,44
33,61,54,33,44,42,45,36,49,30,31,40,36,27,39,21,46,38,54,47,24,40,26,43,48,47,55,51,44,23,57
34,67,50,42,31,42,53,41,50,36,35,45,41,22,40,21,46,28,51,41,24,38,21,44,53,52,56,48,42,21,50
35,62,54,34,33,54,43,41,54,33,43,40,42,23,46,19,37,16,45,40,21,44,24,45,52,54,51,56,50,24,51
36,60,51,36,24,55,45,42,51,32,37,37,42,23,45,21,44,25,47,38,25,44,20,47,53,57,60,48,48,22,52
37,60,44,29,32,47,49,35,46,35,37,47,42,25,48,23,43,32,58,37,29,40,19,37,56,56,59,43,54,22,47
