simulation,OKC,LAL,PHX,UTA,MIL,MEM,CHI,POR,ATL,ORL,BOS,CHO,DAL,NYK,IND,GSW,LAC,NOP,SAC,HOU,BRK,TOR,PHI,DEN,MIN,WAS,MIA,SAS,CLE,DET
0,59,41,51,25,28,34,40,39,38,44,61,27,33,58,24,48,42,25,24,49,27,40,52,51,52,26,43,52,43,55
1,63,47,40,22,40,28,38,45,37,50,45,35,37,49,25,46,38,22,26,51,32,45,46,49,54,21,42,48,51,59
2,66,48,48,27,39,32,34,40,44,48,43,37,34,47,20,45,42,24,19,53,29,42,42,53,56,20,48,52,44,55
3,62,37,44,26,38,43,35,41,44,46,47,31,29,60,19,51,46,15,24,51,19,49,46,52,48,24,47,52,51,54
4,58,52,43,21,32,37,29,47,36,46,48,34,29,54,22,45,43,25,25,49,33,52,46,48,50,21,53,57,46,50
5,65,41,42,24,35,38,35,43,33,50,51,31,32,52,24,46,41,24,20,50,29,46,48,51,56,17,50,59,43,55
6,62,45,42,19,34,38,39,43,46,48,58,26,28,53,29,46,40,24,23,49,28,45,44,49,49,24,39,51,52,58
7,63,41,43,26,41,32,46,45,37,43,54,32,30,53,19,49,42,16,24,54,25,44,45,58,46,22,47,47,45,62
8,69,47,39,30,41,46,33,40,46,51,50,24,27,47,18,38,42,19,25,50,24,42,45,50,52,29,44,56,52,55
9,64,50,39,30,36,33,42,46,42,45,53,28,36,52,21,48,42,21,16,52,24,52,48,52,45,19,50,46,48,51
10,66,54,41,24,43,42,36,39,38,42,51,39,37,45,21,45,40,20,14,57,27,49,42,47,46,23,45,53,47,58
11,62,40,46,29,40,36,33,37,44,42,51,25,38,55,21,41,42,17,27,47,29,40,48,55,52,27,44,55,52,56
12,59,46,46,28,42,45,30,42,42,46,54,30,34,50,22,44,42,23,25,43,27,46,49,53,44,26,49,53,42,49
13,64,54,51,29,36,35,34,37,40,43,52,31,34,56,14,47,37,17,21,57,28,48,47,51,50,19,44,51,49,55
14,59,43,41,30,42,32,39,42,46,45,51,24,28,53,31,45,40,20,19,58,24,47,48,54,53,22,45,53,47,50
15,59,47,48,31,31,41,32,44,39,48,49,36,31,50,19,48,37,23,18,57,24,45,47,52,49,25,43,52,50,56
16,61,50,46,27,42,31,24,39,44,46,53,38,28,53,23,51,38,23,20,49,30,46,41,51,51,21,44,56,45,60
17,62,50,47,29,42,37,31,37,42,46,51,40,31,48,20,46,43,21,18,53,31,50,45,54,48,18,43,49,46,53
18,66,44,40,26,39,37,38,41,37,41,53,33,32,49,22,51,37,24,27,52,25,48,51,50,52,21,44,49,46,56
19,66,42,45,27,47,40,33,39,38,44,49,32,30,47,19,46,36,22,27,55,30,52,44,51,49,28,43,56,46,48
20,64,51,51,28,37,41,33,38,48,42,52,30,30,47,31,45,32,19,22,54,31,53,47,49,54,21,36,56,43,46
21,65,44,48,25,40,36,40,37,39,44,37,38,36,51,16,45,34,22,29,48,29,47,50,48,47,28,49,54,47,58
22,64,42,45,26,32,37,34,50,42,47,50,26,29,52,24,42,46,16,22,54,28,46,51,55,51,30,40,50,43,57
23,62,50,50,29,39,37,32,43,47,43,50,29,23,49,21,47,47,27,25,48,31,43,44,53,49,17,50,53,44,49
24,62,50,45,28,43,43,32,34,42,38,48,34,33,48,24,47,45,14,24,52,31,40,52,50,54,23,40,48,50,57
25,55,42,36,26,40,45,37,40,46,49,46,37,31,51,24,43,44,23,19,56,24,49,50,46,53,26,45,43,48,57
26,62,42,45,21,37,43,34,46,44,44,48,30,40,52,21,42,45,22,26,47,22,53,46,48,48,20,41,52,53,57
27,63,43,36,26,36,35,35,45,44,51,52,31,30,55,20,50,44,27,18,51,25,50,47,47,49,25,44,50,48,54
28,65,48,48,26,32,33,42,39,47,50,47,36,31,56,20,38,39,18,25,53,23,43,39,53,56,22,49,55,49,49
29,64,45,41,23,38,41,34,40,50,49,48,27,26,49,28,49,42,18,21,59,23,48,39,56,53,19,39,57,48,57
30,61,45,40,31,29,39,39,40,44,51,54,36,30,54,27,42,37,15,23,53,25,49,48,57,50,17,43,54,49,49
31,62,51,43,21,51,44,40,40,44,40,45,36,27,54,25,43,45,19,24,45,20,45,39,46,53,25,48,50,47,59
32,64,44,48,29,33,39,36,32,49,45,44,37,32,56,26,43,43,25,18,48,22,47,45,50,53,20,47,56,47,53
33,54,44,46,24,38,41,36,39,39,41,51,36,41,56,20,42,49,20,22,47,26,45,50,56,50,22,46,46,48,56
34,64,38,47,26,30,44,35,40,45,49,57,23,31,59,24,42,49,30,19,56,25,38,50,50,52,21,41,51,42,53
35,64,52,43,25,41,35,37,42,48,50,46,33,30,48,19,52,39,24,21,50,27,49,44,55,46,20,41,52,41,57
36,69,42,41,24,47,33,37,40,31,47,51,42,32,51,29,44,33,26,26,48,25,52,40,45,44,26,48,56,49,53
37,64,42,41,37,39,45,36,42,38,42,49,32,33,55,19,44,37,18,28,48,28,46,49,55,51,23,43,48,43,56
38,67,49,44,25,28,41,38,46,40,46,48,28,30,48,26,43,44,26,15,54,26,40,48,55,49,26,42,56,47,56
39,63,51,48,24,42,36,34,43,41,46,54,33,29,49,23,48,40,19,25,46,26,43,40,50,57,20,50,53,50,48
40,65,47,51,30,36,38,39,36,37,50,56,27,31,53,24,45,35,18,25,55,30,45,43,51,53,18,43,50,45,55
41,69,44,42,26,33,39,36,41,35,54,50,37,32,50,20,48,40,26,20,50,22,48,46,53,48,23,46,51,44,58
