team,wins,losses,champion,finals,conference_finals,second_round,playoffs
BOS,59.072,22.928,0.231,0.369,0.541,0.77,1.0
OKC,60.619,21.381,0.2,0.348,0.524,0.755,1.0
NYK,50.987,31.013,0.077,0.148,0.306,0.578,0.995
DAL,50.355,31.645,0.074,0.152,0.31,0.57,0.949
CLE,55.644,26.356,0.056,0.127,0.281,0.591,0.999
MIN,45.013,36.987,0.038,0.09,0.191,0.391,0.723
DEN,45.918,36.082,0.036,0.077,0.163,0.37,0.762
MIL,45.648,36.352,0.035,0.084,0.179,0.448,0.899
IND,42.528,39.472,0.035,0.075,0.178,0.367,0.792
ORL,47.667,34.333,0.034,0.067,0.19,0.45,0.964
MEM,49.593,32.407,0.03,0.078,0.203,0.44,0.931
HOU,48.059,33.941,0.027,0.059,0.155,0.382,0.866
MIA,42.727,39.273,0.023,0.054,0.119,0.311,0.793
PHO,42.604,39.396,0.023,0.047,0.101,0.216,0.523
GSW,44.699,37.301,0.02,0.054,0.124,0.291,0.665
PHI,37.736,44.264,0.019,0.034,0.09,0.18,0.449
LAL,43.945,38.055,0.016,0.046,0.105,0.25,0.623
SAC,39.939,42.061,0.009,0.03,0.065,0.143,0.322
LAC,42.072,39.928,0.006,0.014,0.043,0.14,0.429
ATL,37.985,44.015,0.005,0.021,0.047,0.122,0.414
CHI,38.263,43.737,0.003,0.016,0.054,0.124,0.434
SAS,38.326,43.674,0.002,0.004,0.014,0.048,0.199
NOP,27.651,54.349,0.001,0.001,0.002,0.002,0.004
DET,34.259,47.741,0.0,0.004,0.012,0.043,0.177
BRK,30.216,51.784,0.0,0.001,0.003,0.008,0.055
TOR,27.587,54.413,0.0,0.0,0.0,0.005,0.018
CHO,26.379,55.621,0.0,0.0,0.0,0.003,0.011
POR,26.978,55.022,0.0,0.0,0.0,0.002,0.003
UTA,26.387,55.613,0.0,0.0,0.0,0.0,0.001
WAS,21.144,60.856,0.0,0.0,0.0,0.0,0.0
