team,wins,losses,wins_median,wins_std,wins_10th,wins_90th,prob_50_plus,prob_55_plus,prob_60_plus,prob_65_plus,prob_70_plus,champion,finals,conference_finals,second_round,playoffs
OKC,63.957,18.043,64.0,3.0405839899598233,60.0,68.0,1.0,0.999,0.936,0.427,0.028,0.413,0.543,0.69,0.872,1.0
CLE,48.441,33.559,49.0,3.325735858422914,44.0,53.0,0.378,0.036,0.001,0.0,0.0,0.098,0.212,0.358,0.604,0.966
NYK,50.61,32.39,51.0,3.5193607374067235,46.0,55.0,0.618,0.138,0.006,0.0,0.0,0.075,0.195,0.344,0.614,0.984
HOU,50.812,31.188,51.0,3.590634484321678,46.0,55.0,0.641,0.153,0.006,0.0,0.0,0.057,0.112,0.283,0.6,0.981
DEN,52.326,29.674,52.0,3.553550900156068,48.0,57.0,0.79,0.29,0.017,0.0,0.0,0.053,0.103,0.284,0.577,0.993
DET,54.554,27.446,55.0,3.7233162637627224,50.0,59.0,0.91,0.505,0.082,0.004,0.0,0.051,0.163,0.325,0.622,0.999
BOS,49.634,32.366,50.0,3.698924708614654,45.0,54.0,0.504,0.095,0.002,0.0,0.0,0.049,0.129,0.263,0.54,0.972
SAS,51.765,31.235,52.0,3.572642579380143,47.0,56.0,0.737,0.228,0.013,0.0,0.0,0.037,0.079,0.211,0.529,0.989
MIN,50.248,31.752,50.0,3.5961779711243436,46.0,55.0,0.577,0.128,0.006,0.0,0.0,0.036,0.07,0.212,0.504,0.959
ORL,46.366,35.634,46.0,3.6329112293035735,42.0,51.0,0.189,0.011,0.0,0.0,0.0,0.034,0.118,0.24,0.445,0.906
GSW,45.502,36.498,46.0,3.5589318622305766,41.0,50.0,0.126,0.006,0.0,0.0,0.0,0.022,0.039,0.13,0.318,0.792
MIA,43.471,38.529,43.0,3.814073806312615,39.0,48.0,0.053,0.0,0.0,0.0,0.0,0.016,0.047,0.098,0.249,0.681
PHI,44.664,37.336,45.0,3.8263695587331865,40.0,49.0,0.098,0.0,0.0,0.0,0.0,0.015,0.047,0.124,0.322,0.777
LAL,45.255,36.745,45.0,3.975924420810838,40.0,50.0,0.14,0.003,0.0,0.0,0.0,0.012,0.023,0.079,0.24,0.737
TOR,45.306,36.694,45.0,3.492042955062266,41.0,50.0,0.111,0.005,0.0,0.0,0.0,0.01,0.043,0.119,0.289,0.824
ATL,41.892,40.108,42.0,3.557855533885545,37.0,46.0,0.011,0.0,0.0,0.0,0.0,0.009,0.038,0.102,0.227,0.567
LAC,41.294,40.706,41.0,3.620713189414483,37.0,46.0,0.005,0.0,0.0,0.0,0.0,0.008,0.017,0.044,0.108,0.436
PHX,44.513,37.487,44.0,3.880957484951362,40.0,49.0,0.092,0.006,0.0,0.0,0.0,0.002,0.011,0.05,0.18,0.659
MIL,35.973,46.027,36.0,4.140081037854211,30.0,41.0,0.0,0.0,0.0,0.0,0.0,0.002,0.007,0.02,0.053,0.153
MEM,37.227,44.773,37.0,4.0313113251149435,32.0,42.10000000000002,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.006,0.027,0.136
POR,40.181,41.819,40.0,3.8398227823689988,35.0,45.0,0.007,0.0,0.0,0.0,0.0,0.0,0.002,0.011,0.043,0.287
CHO,33.689,48.311,34.0,4.083170214428979,28.900000000000006,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.005,0.015,0.064
CHI,35.605,46.395,36.0,3.984843158770493,31.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.019,0.105
DAL,32.774,49.226,33.0,3.7636317566945894,28.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.029
BRK,25.738,56.262,26.0,3.893758595496131,21.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.002
UTA,26.18,55.82,26.0,3.5292492119429593,22.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001
SAC,25.873,56.127,26.0,3.6822372275560955,21.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001
IND,23.205,58.795,23.0,3.828442894963956,18.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NOP,22.446,59.554,22.0,3.4737708617581555,18.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WAS,21.499,60.501,21.0,3.1074103365986283,18.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
