simulation,OKC,LAL,PHX,UTA,MIL,POR,CHI,MEM,ATL,ORL,BOS,CHO,DAL,NYK,IND,GSW,SAC,LAC,TOR,BRK,HOU,NOP,DEN,PHI,SAS,DET,CLE,MIA,WAS,MIN
0,64,53,45,22,32,42,31,25,46,45,56,44,26,53,19,37,22,42,46,20,52,26,54,45,62,60,52,43,17,49
1,64,53,45,22,32,42,31,25,46,45,56,44,26,53,19,37,22,42,46,20,52,26,54,45,62,60,52,43,17,49
2,64,53,45,22,32,42,31,25,46,45,56,44,26,53,19,37,22,42,46,20,52,26,54,45,62,60,52,43,17,49
3,64,53,45,22,32,42,31,25,46,45,56,44,26,53,19,37,22,42,46,20,52,26,54,45,62,60,52,43,17,49
4,64,53,45,22,32,42,31,25,46,45,56,44,26,53,19,37,22,42,46,20,52,26,54,45,62,60,52,43,17,49
5,64,53,45,22,32,42,31,25,46,45,56,44,26,53,19,37,22,42,46,20,52,26,54,45,62,60,52,43,17,49
6,64,53,45,22,32,42,31,25,46,45,56,44,26,53,19,37,22,42,46,20,52,26,54,45,62,60,52,43,17,49
7,64,53,45,22,32,42,31,25,46,45,56,44,26,53,19,37,22,42,46,20,52,26,54,45,62,60,52,43,17,49
8,64,53,45,22,32,42,31,25,46,45,56,44,26,53,19,37,22,42,46,20,52,26,54,45,62,60,52,43,17,49
9,64,53,45,22,32,42,31,25,46,45,56,44,26,53,19,37,22,42,46,20,52,26,54,45,62,60,52,43,17,49
10,64,53,45,22,32,42,31,25,46,45,56,44,26,53,19,37,22,42,46,20,52,26,54,45,62,60,52,43,17,49
11,64,53,45,22,32,42,31,25,46,45,56,44,26,53,19,37,22,42,46,20,52,26,54,45,62,60,52,43,17,49
12,64,53,45,22,32,42,31,25,46,45,56,44,26,53,19,37,22,42,46,20,52,26,54,45,62,60,52,43,17,49
13,64,53,45,22,32,42,31,25,46,45,56,44,26,53,19,37,22,42,46,20,52,26,54,45,62,60,52,43,17,49
14,64,53,45,22,32,42,31,25,46,45,56,44,26,53,19,37,22,42,46,20,52,26,54,45,62,60,52,43,17,49
15,64,53,45,22,32,42,31,25,46,45,56,44,26,53,19,37,22,42,46,20,52,26,54,45,62,60,52,43,17,49
16,64,53,45,22,32,42,31,25,46,45,56,44,26,53,19,37,22,42,46,20,52,26,54,45,62,60,52,43,17,49
17,64,53,45,22,32,42,31,25,46,45,56,44,26,53,19,37,22,42,46,20,52,26,54,45,62,60,52,43,17,49
18,64,53,45,22,32,42,31,25,46,45,56,44,26,53,19,37,22,42,46,20,52,26,54,45,62,60,52,43,17,49
19,64,53,45,22,32,42,31,25,46,45,56,44,26,53,19,37,22,42,46,20,52,26,54,45,62,60,52,43,17,49
20,64,53,45,22,32,42,31,25,46,45,56,44,26,53,19,37,22,42,46,20,52,26,54,45,62,60,52,43,17,49
21,64,53,45,22,32,42,31,25,46,45,56,44,26,53,19,37,22,42,46,20,52,26,54,45,62,60,52,43,17,49
22,64,53,45,22,32,42,31,25,46,45,56,44,26,53,19,37,22,42,46,20,52,26,54,45,62,60,52,43,17,49
23,64,53,45,22,32,42,31,25,46,45,56,44,26,53,19,37,22,42,46,20,52,26,54,45,62,60,52,43,17,49
24,64,53,45,22,32,42,31,25,46,45,56,44,26,53,19,37,22,42,46,20,52,26,54,45,62,60,52,43,17,49
25,64,53,45,22,32,42,31,25,46,45,56,44,26,53,19,37,22,42,46,20,52,26,54,45,62,60,52,43,17,49
26,64,53,45,22,32,42,31,25,46,45,56,44,26,53,19,37,22,42,46,20,52,26,54,45,62,60,52,43,17,49
27,64,53,45,22,32,42,31,25,46,45,56,44,26,53,19,37,22,42,46,20,52,26,54,45,62,60,52,43,17,49
28,64,53,45,22,32,42,31,25,46,45,56,44,26,53,19,37,22,42,46,20,52,26,54,45,62,60,52,43,17,49
29,64,53,45,22,32,42,31,25,46,45,56,44,26,53,19,37,22,42,46,20,52,26,54,45,62,60,52,43,17,49
30,64,53,45,22,32,42,31,25,46,45,56,44,26,53,19,37,22,42,46,20,52,26,54,45,62,60,52,43,17,49
31,64,53,45,22,32,42,31,25,46,45,56,44,26,53,19,37,22,42,46,20,52,26,54,45,62,60,52,43,17,49
32,64,53,45,22,32,42,31,25,46,45,56,44,26,53,19,37,22,42,46,20,52,26,54,45,62,60,52,43,17,49
33,64,53,45,22,32,42,31,25,46,45,56,44,26,53,19,37,22,42,46,20,52,26,54,45,62,60,52,43,17,49
34,64,53,45,22,32,42,31,25,46,45,56,44,26,53,19,37,22,42,46,20,52,26,54,45,62,60,52,43,17,49
35,64,53,45,22,32,42,31,25,46,45,56,44,26,53,19,37,22,42,46,20,52,26,54,45,62,60,52,43,17,49
36,64,53,45,22,32,42,31,25,46,45,56,44,26,53,19,37,22,42,46,20,52,26,54,45,62,60,52,43,17,49
37,64,53,45,22,32,42,31,25,46,45,56,44,26,53,19,37,22,42,46,20,52,26,54,45,62,60,52,43,17,49
38,64,53,45,22,32,42,31,25,46,45,56,44,26,53,19,37,22,42,46,20,52,26,54,45,62,60,52,43,17,49
39,64,53,45,22,32,42,31,25,46,45,56,44,26,53,19,37,22,42,46,20,52,26,54,45,62,60,52,43,17,49
40,64,53,45,22,32,42,31,25,46,45,56,44,26,53,19,37,22,42,46,20,52,26,54,45,62,60,52,43,17,49
41,64,53,45,22,32,42,31,25,46,45,56,44,26,53,19,37,22,42,46,20,52,26,54,45,62,60,52,43,17,49
42,64,53,45,22,32,42,31,25,46,45,56,44,26,53,19,37,22,42,46,20,52,26,54,45,62,60,52,43,17,49
43,64,53,45,22,32,42,31,25,46,45,56,44,26,53,19,37,22,42,46,20,52,26,54,45,62,60,52,43,17,49
44,64,53,45,22,32,42,31,25,46,45,56,44,26,53,19,37,22,42,46,20,52,26,54,45,62,60,52,43,17,49
45,64,53,45,22,32,42,31,25,46,45,56,44,26,53,19,37,22,42,46,20,52,26,54,45,62,60,52,43,17,49
46,64,53,45,22,32,42,31,25,46,45,56,44,26,53,19,37,22,42,46,20,52,26,54,45,62,60,52,43,17,49
47,64,53,45,22,32,42,31,25,46,45,56,44,26,53,19,37,22,42,46,20,52,26,54,45,62,60,52,43,17,49
48,64,53,45,22,32,42,31,25,46,45,56,44,26,53,19,37,22,42,46,20,52,26,54,45,62,60,52,43,17,49
49,64,53,45,22,32,42,31,25,46,45,56,44,26,53,19,37,22,42,46,20,52,26,54,45,62,60,52,43,17,49
50,64,53,45,22,32,42,31,25,46,45,56,44,26,53,19,37,22,42,46,20,52,26,54,45,62,60,52,43,17,49
51,64,53,45,22,32,42,31,25,46,45,56,44,26,53,19,37,22,42,46,20,52,26,54,45,62,60,52,43,17,49
52,64,53,45,22,32,42,31,25,46,45,56,44,26,53,19,37,22,42,46,20,52,26,54,45,62,60,52,43,17,49
53,64,53,45,22,32,42,31,25,46,45,56,44,26,53,19,37,22,42,46,20,52,26,54,45,62,60,52,43,17,49
54,64,53,45,22,32,42,31,25,46,45,56,44,26,53,19,37,22,42,46,20,52,26,54,45,62,60,52,43,17,49
55,64,53,45,22,32,42,31,25,46,45,56,44,26,53,19,37,22,42,46,20,52,26,54,45,62,60,52,43,17,49
56,64,53,45,22,32,42,31,25,46,45,56,44,26,53,19,37,22,42,46,20,52,26,54,45,62,60,52,43,17,49
57,64,53,45,22,32,42,31,25,46,45,56,44,26,53,19,37,22,42,46,20,52,26,54,45,62,60,52,43,17,49
58,64,53,45,22,32,42,31,25,46,45,56,44,26,53,19,37,22,42,46,20,52,26,54,45,62,60,52,43,17,49
59,64,53,45,22,32,42,31,25,46,45,56,44,26,53,19,37,22,42,46,20,52,26,54,45,62,60,52,43,17,49
60,64,53,45,22,32,42,31,25,46,45,56,44,26,53,19,37,22,42,46,20,52,26,54,45,62,60,52,43,17,49
61,64,53,45,22,32,42,31,25,46,45,56,44,26,53,19,37,22,42,46,20,52,26,54,45,62,60,52,43,17,49
62,64,53,45,22,32,42,31,25,46,45,56,44,26,53,19,37,22,42,46,20,52,26,54,45,62,60,52,43,17,49
63,64,53,45,22,32,42,31,25,46,45,56,44,26,53,19,37,22,42,46,20,52,26,54,45,62,60,52,43,17,49
64,64,53,45,22,32,42,31,25,46,45,56,44,26,53,19,37,22,42,46,20,52,26,54,45,62,60,52,43,17,49
65,64,53,45,22,32,42,31,25,46,45,56,44,26,53,19,37,22,42,46,20,52,26,54,45,62,60,52,43,17,49
66,64,53,45,22,32,42,31,25,46,45,56,44,26,53,19,37,22,42,46,20,52,26,54,45,62,60,52,43,17,49
67,64,53,45,22,32,42,31,25,46,45,56,44,26,53,19,37,22,42,46,20,52,26,54,45,62,60,52,43,17,49
68,64,53,45,22,32,42,31,25,46,45,56,44,26,53,19,37,22,42,46,20,52,26,54,45,62,60,52,43,17,49
69,64,53,45,22,32,42,31,25,46,45,56,44,26,53,19,37,22,42,46,20,52,26,54,45,62,60,52,43,17,49
70,64,53,45,22,32,42,31,25,46,45,56,44,26,53,19,37,22,42,46,20,52,26,54,45,62,60,52,43,17,49
71,64,53,45,22,32,42,31,25,46,45,56,44,26,53,19,37,22,42,46,20,52,26,54,45,62,60,52,43,17,49
72,64,53,45,22,32,42,31,25,46,45,56,44,26,53,19,37,22,42,46,20,52,26,54,45,62,60,52,43,17,49
73,64,53,45,22,32,42,31,25,46,45,56,44,26,53,19,37,22,42,46,20,52,26,54,45,62,60,52,43,17,49
74,64,53,45,22,32,42,31,25,46,45,56,44,26,53,19,37,22,42,46,20,52,26,54,45,62,60,52,43,17,49
75,64,53,45,22,32,42,31,25,46,45,56,44,26,53,19,37,22,42,46,20,52,26,54,45,62,60,52,43,17,49
76,64,53,45,22,32,42,31,25,46,45,56,44,26,53,19,37,22,42,46,20,52,26,54,45,62,60,52,43,17,49
77,64,53,45,22,32,42,31,25,46,45,56,44,26,53,19,37,22,42,46,20,52,26,54,45,62,60,52,43,17,49
78,64,53,45,22,32,42,31,25,46,45,56,44,26,53,19,37,22,42,46,20,52,26,54,45,62,60,52,43,17,49
79,64,53,45,22,32,42,31,25,46,45,56,44,26,53,19,37,22,42,46,20,52,26,54,45,62,60,52,43,17,49
80,64,53,45,22,32,42,31,25,46,45,56,44,26,53,19,37,22,42,46,20,52,26,54,45,62,60,52,43,17,49
81,64,53,45,22,32,42,31,25,46,45,56,44,26,53,19,37,22,42,46,20,52,26,54,45,62,60,52,43,17,49
82,64,53,45,22,32,42,31,25,46,45,56,44,26,53,19,37,22,42,46,20,52,26,54,45,62,60,52,43,17,49
83,64,53,45,22,32,42,31,25,46,45,56,44,26,53,19,37,22,42,46,20,52,26,54,45,62,60,52,43,17,49
84,64,53,45,22,32,42,31,25,46,45,56,44,26,53,19,37,22,42,46,20,52,26,54,45,62,60,52,43,17,49
85,64,53,45,22,32,42,31,25,46,45,56,44,26,53,19,37,22,42,46,20,52,26,54,45,62,60,52,43,17,49
86,64,53,45,22,32,42,31,25,46,45,56,44,26,53,19,37,22,42,46,20,52,26,54,45,62,60,52,43,17,49
87,64,53,45,22,32,42,31,25,46,45,56,44,26,53,19,37,22,42,46,20,52,26,54,45,62,60,52,43,17,49
88,64,53,45,22,32,42,31,25,46,45,56,44,26,53,19,37,22,42,46,20,52,26,54,45,62,60,52,43,17,49
89,64,53,45,22,32,42,31,25,46,45,56,44,26,53,19,37,22,42,46,20,52,26,54,45,62,60,52,43,17,49
90,64,53,45,22,32,42,31,25,46,45,56,44,26,53,19,37,22,42,46,20,52,26,54,45,62,60,52,43,17,49
91,64,53,45,22,32,42,31,25,46,45,56,44,26,53,19,37,22,42,46,20,52,26,54,45,62,60,52,43,17,49
92,64,53,45,22,32,42,31,25,46,45,56,44,26,53,19,37,22,42,46,20,52,26,54,45,62,60,52,43,17,49
93,64,53,45,22,32,42,31,25,46,45,56,44,26,53,19,37,22,42,46,20,52,26,54,45,62,60,52,43,17,49
94,64,53,45,22,32,42,31,25,46,45,56,44,26,53,19,37,22,42,46,20,52,26,54,45,62,60,52,43,17,49
95,64,53,45,22,32,42,31,25,46,45,56,44,26,53,19,37,22,42,46,20,52,26,54,45,62,60,52,43,17,49
96,64,53,45,22,32,42,31,25,46,45,56,44,26,53,19,37,22,42,46,20,52,26,54,45,62,60,52,43,17,49
97,64,53,45,22,32,42,31,25,46,45,56,44,26,53,19,37,22,42,46,20,52,26,54,45,62,60,52,43,17,49
98,64,53,45,22,32,42,31,25,46,45,56,44,26,53,19,37,22,42,46,20,52,26,54,45,62,60,52,43,17,49
99,64,53,45,22,32,42,31,25,46,45,56,44,26,53,19,37,22,42,46,20,52,26,54,45,62,60,52,43,17,49
100,64,53,45,22,32,42,31,25,46,45,56,44,26,53,19,37,22,42,46,20,52,26,54,45,62,60,52,43,17,49
101,64,53,45,22,32,42,31,25,46,45,56,44,26,53,19,37,22,42,46,20,52,26,54,45,62,60,52,43,17,49
102,64,53,45,22,32,42,31,25,46,45,56,44,26,53,19,37,22,42,46,20,52,26,54,45,62,60,52,43,17,49
103,64,53,45,22,32,42,31,25,46,45,56,44,26,53,19,37,22,42,46,20,52,26,54,45,62,60,52,43,17,49
104,64,53,45,22,32,42,31,25,46,45,56,44,26,53,19,37,22,42,46,20,52,26,54,45,62,60,52,43,17,49
105,64,53,45,22,32,42,31,25,46,45,56,44,26,53,19,37,22,42,46,20,52,26,54,45,62,60,52,43,17,49
106,64,53,45,22,32,42,31,25,46,45,56,44,26,53,19,37,22,42,46,20,52,26,54,45,62,60,52,43,17,49
107,64,53,45,22,32,42,31,25,46,45,56,44,26,53,19,37,22,42,46,20,52,26,54,45,62,60,52,43,17,49
108,64,53,45,22,32,42,31,25,46,45,56,44,26,53,19,37,22,42,46,20,52,26,54,45,62,60,52,43,17,49
109,64,53,45,22,32,42,31,25,46,45,56,44,26,53,19,37,22,42,46,20,52,26,54,45,62,60,52,43,17,49
110,64,53,45,22,32,42,31,25,46,45,56,44,26,53,19,37,22,42,46,20,52,26,54,45,62,60,52,43,17,49
111,64,53,45,22,32,42,31,25,46,45,56,44,26,53,19,37,22,42,46,20,52,26,54,45,62,60,52,43,17,49
