team,wins,losses,wins_median,wins_std,wins_10th,wins_90th,prob_50_plus,prob_55_plus,prob_60_plus,prob_65_plus,prob_70_plus,champion,finals,conference_finals,second_round,playoffs
OKC,62.955,19.045,63.0,1.7921983707168134,61.0,65.0,1.0,1.0,0.9675,0.202,0.0,0.3905,0.579,0.7915,0.93,1.0
SAS,59.504,23.496,60.0,1.8283828920661012,57.0,62.0,1.0,0.994,0.5115,0.0,0.0,0.1445,0.23,0.585,0.791,1.0
DET,58.8975,23.1025,59.0,2.070747147770582,56.0,62.0,1.0,0.983,0.3955,0.0,0.0,0.133,0.3045,0.4895,0.7865,1.0
NYK,53.4945,29.5055,54.0,1.7518475247577914,51.0,56.0,0.988,0.291,0.0,0.0,0.0,0.098,0.243,0.466,0.775,1.0
CLE,51.9895,30.0105,52.0,1.7886838038065866,50.0,54.0,0.911,0.072,0.0,0.0,0.0,0.0815,0.191,0.3715,0.7385,1.0
BOS,53.4585,28.5415,53.0,2.013027011741273,51.0,56.0,0.9815,0.312,0.0,0.0,0.0,0.059,0.1655,0.3405,0.702,1.0
DEN,50.294,31.706,50.0,1.8269001067381874,48.0,53.0,0.674,0.0055,0.0,0.0,0.0,0.024,0.063,0.1795,0.61,0.9955
HOU,51.022,30.978,51.0,2.13717477057914,48.0,54.0,0.7675,0.05,0.0,0.0,0.0,0.014,0.041,0.141,0.556,0.9945
LAL,50.0505,31.9495,50.0,1.8335620387649827,48.0,52.0,0.6125,0.006,0.0,0.0,0.0,0.012,0.028,0.086,0.399,0.988
ORL,47.109,34.891,47.0,2.106209628693213,44.0,50.0,0.134,0.0,0.0,0.0,0.0,0.0105,0.0405,0.1105,0.272,0.9255
LAC,43.6455,38.3545,44.0,1.9896808161109658,41.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0095,0.02,0.0705,0.1585,0.7655
MIN,49.3445,32.6555,49.0,1.9906832369817151,47.0,52.0,0.4825,0.002,0.0,0.0,0.0,0.009,0.027,0.101,0.389,0.976
MIA,45.955,36.045,46.0,1.9849370267089084,43.0,49.0,0.0325,0.0,0.0,0.0,0.0,0.0055,0.02,0.0825,0.2485,0.857
ATL,43.711,38.289,44.0,2.090090667889793,41.0,46.0,0.0005,0.0,0.0,0.0,0.0,0.003,0.014,0.045,0.143,0.5935
PHX,45.836,36.164,46.0,2.0435518099622527,43.0,49.0,0.0375,0.0,0.0,0.0,0.0,0.0025,0.009,0.0275,0.1215,0.7725
CHO,42.19,39.81,42.0,1.9159592897553954,40.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0015,0.009,0.033,0.1155,0.4315
TOR,45.232,36.768,45.0,2.131003519471519,43.0,48.0,0.0215,0.0,0.0,0.0,0.0,0.001,0.0095,0.0505,0.1705,0.7975
PHI,43.252,38.748,43.0,1.8856022910465504,41.0,46.0,0.0,0.0,0.0,0.0,0.0,0.001,0.003,0.011,0.0485,0.395
GSW,40.3185,41.6815,40.0,2.025847415280825,38.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0155,0.0365,0.334
POR,39.747,42.253,40.0,1.9682456655610852,37.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005,0.0025,0.0085,0.174
MIL,32.6575,49.3425,33.0,2.084512832774123,30.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHI,32.326,49.674,32.0,2.0500546334183385,30.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MEM,29.1425,52.8575,29.0,2.2093423795328784,26.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NOP,27.149,54.851,27.0,1.9513582449155769,25.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DAL,26.6965,55.3035,27.0,2.0190066245557494,24.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UTA,23.903,58.097,24.0,1.8285488782091661,22.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BRK,21.5235,60.4765,21.0,1.9254733833527793,19.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SAC,21.306,60.694,21.0,1.794815867993149,19.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WAS,19.701,62.299,20.0,1.7718913623583135,18.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IND,18.589,63.411,18.0,1.736974093071051,16.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
