game_id,spread
0022400061,6.0
0022400062,1.0
0022400063,-5.5
0022400064,7.0
0022400065,2.0
0022400066,-4.0
0022400067,-6.5
0022400068,8.0
0022400069,5.0
0022400070,-2.5
0022400071,-5.0
0022400072,-7.5
0022400073,-14.0
0022400074,8.5
0022400075,2.0
0022400076,-1.0
0022400077,11.5
0022400078,-5.0
0022400079,5.5
0022400080,10.5
0022400081,4.5
0022400082,3.5
0022400083,9.5
0022400084,-6.5
0022400085,1.5
0022400086,-6.5
0022400087,7.5
0022400088,-6.0
0022400089,-12.5
0022400090,-9.5
0022400091,-9.5
0022400092,-1.0
0022400093,14.5
0022400094,-1.5
0022400095,-3.5
0022400096,1.0
0022400097,8.0
0022400098,-8.5
0022400099,-6.5
0022400100,10.5
0022400101,9.0
0022400102,5.5
0022400103,7.5
0022400104,9.0
0022400105,8.5
0022400106,3.0
0022400107,-8.5
0022400108,5.0
0022400109,-2.5
0022400110,12.0
0022400111,4.5
0022400112,13.0
0022400113,-5.5
0022400114,4.0
0022400115,-6.5
0022400116,-1.5
0022400117,6.0
0022400118,4.0
0022400119,-6.5
0022400120,4.0
0022400121,-5.5
0022400122,-1.5
0022400123,-5.5
0022400124,11.5
0022400125,12.5
0022400126,3.0
0022400127,8.0
0022400128,-6.5
0022400129,6.5
0022400130,-2.0
0022400131,-4.5
0022400132,-10.5
0022400133,7.0
0022400134,-6.5
0022400135,-6.0
0022400136,1.5
0022400137,-9.0
0022400138,-4.5
0022400139,3.5
0022400140,-11.0
0022400141,-10.5
0022400142,1.0
0022400143,-9.5
0022400144,5.0
0022400145,2.0
0022400146,-4.0
0022400147,-10.0
0022400148,11.0
0022400149,13.0
0022400150,-5.5
0022400151,3.0
0022400152,-1.0
0022400153,7.0
0022400154,8.5
0022400155,-11.0
0022400156,-7.0
0022400157,-10.0
0022400158,-4.0
0022400159,1.0
0022400160,7.5
0022400161,-2.0
0022400162,11.0
0022400163,12.5
0022400164,1.0
0022400165,4.5
0022400166,11.0
0022400167,7.0
0022400168,4.0
0022400169,-1.5
0022400170,5.5
0022400171,-7.0
0022400172,7.0
0022400173,6.5
0022400174,4.0
0022400175,-6.5
0022400176,10.0
