team,wins,losses,champion,finals,conference_finals,second_round,playoffs,simulation_date,week_number,games_completed,games_remaining,season_progress
BOS,57.265625,24.734375,0.265625,0.390625,0.515625,0.703125,1.0,2024-10-28,2,41,1279,0.03106060606060606
DAL,48.3125,33.6875,0.125,0.171875,0.25,0.5,0.796875,2024-10-28,2,41,1279,0.03106060606060606
OKC,55.71875,26.28125,0.09375,0.234375,0.46875,0.6875,1.0,2024-10-28,2,41,1279,0.03106060606060606
ORL,47.015625,34.984375,0.078125,0.15625,0.3125,0.5,0.875,2024-10-28,2,41,1279,0.03106060606060606
MIN,46.03125,35.96875,0.0625,0.109375,0.21875,0.375,0.6875,2024-10-28,2,41,1279,0.03106060606060606
CLE,50.28125,31.71875,0.046875,0.109375,0.234375,0.578125,0.96875,2024-10-28,2,41,1279,0.03106060606060606
ATL,38.828125,43.171875,0.046875,0.078125,0.140625,0.234375,0.546875,2024-10-28,2,41,1279,0.03106060606060606
PHO,47.109375,34.890625,0.03125,0.078125,0.203125,0.4375,0.84375,2024-10-28,2,41,1279,0.03106060606060606
LAL,44.546875,37.453125,0.03125,0.078125,0.171875,0.28125,0.609375,2024-10-28,2,41,1279,0.03106060606060606
NYK,46.984375,35.015625,0.03125,0.0625,0.21875,0.4375,0.875,2024-10-28,2,41,1279,0.03106060606060606
MIL,44.84375,37.15625,0.03125,0.0625,0.125,0.390625,0.8125,2024-10-28,2,41,1279,0.03106060606060606
MEM,41.9375,40.0625,0.03125,0.046875,0.078125,0.21875,0.421875,2024-10-28,2,41,1279,0.03106060606060606
LAC,42.34375,39.65625,0.03125,0.046875,0.078125,0.125,0.46875,2024-10-28,2,41,1279,0.03106060606060606
DEN,44.546875,37.453125,0.03125,0.03125,0.0625,0.265625,0.640625,2024-10-28,2,41,1279,0.03106060606060606
GSW,45.765625,36.234375,0.015625,0.0625,0.109375,0.28125,0.671875,2024-10-28,2,41,1279,0.03106060606060606
IND,41.28125,40.71875,0.015625,0.046875,0.09375,0.21875,0.703125,2024-10-28,2,41,1279,0.03106060606060606
PHI,42.546875,39.453125,0.015625,0.03125,0.171875,0.46875,0.8125,2024-10-28,2,41,1279,0.03106060606060606
NOP,39.859375,42.140625,0.015625,0.015625,0.046875,0.1875,0.359375,2024-10-28,2,41,1279,0.03106060606060606
HOU,39.890625,42.109375,0.0,0.046875,0.09375,0.171875,0.375,2024-10-28,2,41,1279,0.03106060606060606
SAS,39.59375,42.40625,0.0,0.046875,0.046875,0.109375,0.40625,2024-10-28,2,41,1279,0.03106060606060606
SAC,44.453125,37.546875,0.0,0.03125,0.171875,0.3125,0.59375,2024-10-28,2,41,1279,0.03106060606060606
MIA,39.578125,42.421875,0.0,0.03125,0.078125,0.234375,0.53125,2024-10-28,2,41,1279,0.03106060606060606
TOR,29.828125,52.171875,0.0,0.015625,0.015625,0.03125,0.15625,2024-10-28,2,41,1279,0.03106060606060606
WAS,25.484375,56.515625,0.0,0.015625,0.015625,0.015625,0.03125,2024-10-28,2,41,1279,0.03106060606060606
